question_id,standard,category,method,keypoint_recall,all_keypoints_correct,source_citation_accuracy,clause_citation_accuracy,answer_composite,retrieval_source_hit,retrieval_evidence_recall,total_latency_s,prompt_tokens,completion_tokens,question,gold_answer,answer
C01,JTG-T 3660-2020,direct,LLM,0.5,0.0,1.0,0.0,0.525,nan,nan,4.9054,216,155,根据JTG/T 3660-2020，隧道施工动态管理应依据哪两类信息实施？,应根据超前地质预报及监控量测信息实施动态管理。,根据《公路隧道施工技术规范》（JTG/T 3660—2020），隧道施工动态管理应依据以下两类信息实施：  1. **监控量测信息**   2. **地质超前预报信息**  依据条款：**第3.2.3条**（“隧道施工应实行动态设计与动态施工管理，动态管理应以监控量测和地质超前预报信息为依据”）。  注：该条强调在施工过程中，应结合实时监测数据（如围岩变形、支护结构受力等）与超前地质探测结果（如掌子面前方不良地质体预测），及时调整支护参数与施工方法，确保工程安全与质量。
C01,JTG-T 3660-2020,direct,RAG,1.0,1.0,1.0,0.0,0.9,1.0,0.6666666666666666,8.2947,3826,193,根据JTG/T 3660-2020，隧道施工动态管理应依据哪两类信息实施？,应根据超前地质预报及监控量测信息实施动态管理。,根据JTG/T 3660—2020《公路隧道施工技术规范》，隧道施工动态管理应依据以下两类信息实施：  1. **监控量测信息**   2. **超前地质预报信息**  依据来源为规范第3.0.6条：   > **3.0.6** 监控量测、超前地质预报、安全质量监测等隧道施工信息应及时收集、处理、反馈  结合条文说明及上下文（如第18章“监控量测”、第19章“超前地质预报”），这两类信息是实施动态设计与动态施工控制的核心依据，用于指导开挖方法调整、支护参数优化及风险应对措施制定。  规范编号：JTG/T 3660—2020   条款号：第3.0.6条   页码：第15页
C01,JTG-T 3660-2020,direct,LightRAG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0644,8256,242,根据JTG/T 3660-2020，隧道施工动态管理应依据哪两类信息实施？,应根据超前地质预报及监控量测信息实施动态管理。,根据JTG/T 3660—2020《公路隧道施工技术规范》：  **隧道施工动态管理应依据以下两类信息实施：**   1. **超前地质预报信息**   2. **监控量测信息**  **依据条款：**   - **第3.0.1条**（第14页）：     > “隧道应按设计文件施工，并根据**超前地质预报及监控量测信息**实施动态管理。”    - **第3.0.6条**（第15页）：     > “监控量测、超前地质预报、安全质量监测等隧道施工信息应及时收集、处理、反馈。”    - **第16.1.3条条文说明**（第156页）进一步强调：     > “量测信息要快速反馈，实现动态管理”，且“超前地质预报是进一步探测开挖前方地质情况的必要手段……需纳入施工程序管理”。  综上，规范明确将**超前地质预报**与**监控量测**作为实施动态管理的两大核心信息来源。
C02,JTG-T 3660-2020,multi_condition,LLM,0.16666666666666666,0.0,1.0,0.0,0.275,nan,nan,8.4054,226,300,根据JTG/T 3660-2020，选择开挖方法应考虑哪些主要因素？开挖前还应进行什么核实和调整？,应考虑隧道长度、跨度、结构形式、掌子面稳定性和地质条件；开挖前应核实掌子面地质，结合超前地质预报，随地质变化调整开挖方法和支护参数。,根据《公路隧道施工技术细则》（JTG/T 3660—2020），选择开挖方法应考虑的主要因素及开挖前的核实与调整要求如下：  **一、选择开挖方法应考虑的主要因素**（依据第4.1.2条）：   1. 围岩级别；   2. 隧道断面尺寸；   3. 埋深与地形地质条件；   4. 施工机械装备能力；   5. 工期与经济性要求；   6. 环境保护与安全控制要求；   7. 支护结构形式与施工工艺匹配性。  **二、开挖前应进行的核实和调整**（依据第4.1.3条）：   开挖前应结合超前地质预报成果、实际揭露围岩情况，对原设计的开挖方法、支护参数及施工方案进行**复核与动态调整**，必要时应组织专家论证。特别强调：当实际围岩条件与勘察设计不符时，应及时变更开挖方法和支护措施，确保施工安全。  > 注：以上内容基于JTG/T 3660—2020 第4章“洞身开挖”相关条款归纳，核心条款为 **4.1.2 条** 和 **4.1.3 条**。
C02,JTG-T 3660-2020,multi_condition,RAG,0.5,0.0,1.0,0.0,0.525,1.0,0.75,6.8983,3672,219,根据JTG/T 3660-2020，选择开挖方法应考虑哪些主要因素？开挖前还应进行什么核实和调整？,应考虑隧道长度、跨度、结构形式、掌子面稳定性和地质条件；开挖前应核实掌子面地质，结合超前地质预报，随地质变化调整开挖方法和支护参数。,根据《JTG/T 3660—2020 公路隧道施工技术规范》：  1. **选择开挖方法应考虑的主要因素**：      依据第7.2.1条（见第46页）：      > “应根据**地质条件**、**隧道开挖断面**和**围岩稳定情况**选择开挖方法。”  2. **开挖前应进行的核实与调整**：      依据第7.1.2条（见原始规范文本块3）：      > “开挖前应**核实掌子面地质情况**，结合**超前地质预报结果**，根据地质变化情况**及时调整开挖方法和支护参数**，并做好各工序的衔接。”  综上，开挖方法选择需综合考虑地质条件、开挖断面及围岩稳定性；开挖前须核实掌子面地质并与超前预报结果比对，动态调整开挖方法与支护参数。
C02,JTG-T 3660-2020,multi_condition,LightRAG,1.0,1.0,1.0,0.0,0.9,1.0,1.0,11.7926,8819,365,根据JTG/T 3660-2020，选择开挖方法应考虑哪些主要因素？开挖前还应进行什么核实和调整？,应考虑隧道长度、跨度、结构形式、掌子面稳定性和地质条件；开挖前应核实掌子面地质，结合超前地质预报，随地质变化调整开挖方法和支护参数。,"根据《公路隧道施工技术规范》（JTG/T 3660—2020）：  ### 一、选择开挖方法应考虑的主要因素   依据 **第7.1.1条**（第44页）和 **第7.2.1条**（第46页）：   > 应根据**隧道长度、跨度、结构形式、掌子面稳定性、地质条件**等选择适宜的开挖方法；   > 并应根据**地质条件、隧道开挖断面和围岩稳定情况**选择开挖方法。    此外, 表7.2.1进一步明确：开挖方法选择还需结合**围岩级别**与**隧道断面类型**（如双车道/三车道）综合确定。  ---  ### 二、开挖前应进行的核实与调整   依据 **第7.1.2条**（第44页）：   > 开挖前应**核实掌子面地质情况**，结合**超前地质预报结果**，根据地质变化情况**及时调整开挖方法和支护参数**，并做好各工序的衔接  即：   - 核实内容：掌子面实际地质情况；   - 依据手段：超前地质预报结果；   - 动态措施：及时调整开挖方法与支护参数；   - 配套要求：确保工序衔接顺畅。  ---   **规范依据**：JTG/T 3660—2020，第44页 7.1.1、7.1.2 条；第46页 7.2.1 条及表7.2.1。"
C03,JTG-T 3660-2020,multi_condition,LLM,0.3333333333333333,0.0,1.0,0.0,0.4,nan,nan,7.4381,226,304,根据JTG/T 3660-2020，对可能失稳、坍塌或涌水地段，开挖前后分别应采取什么措施？,开挖前应预先采取针对性预处理措施；开挖后应清除危石并及时进行初期支护。,根据《公路隧道施工技术规范》（JTG/T 3660—2020）：  - **开挖前**：对可能失稳、坍塌或涌水地段，应采取**超前支护与预加固措施**，如超前小导管注浆、管棚、超前锚杆、帷幕注浆等，以提高围岩自稳能力，控制地下水。  - **开挖后**：应及时施作**初期支护**（如喷射混凝土、钢拱架、系统锚杆等），并根据围岩变形监测结果动态调整支护参数；对富水段还应同步实施**排水或堵水措施**（如径向注浆、设置排水孔、防水层等），防止涌水引发失稳。  具体依据条款为： - **第5.3.1条**：对不良地质地段，开挖前应进行超前地质预报和预加固； - **第5.3.3条**：开挖后应及时封闭掌子面，尽快完成初期支护； - **第8.2节（涌水处理）**及**第9.3节（软弱围岩支护）**进一步规定了针对性措施。  注：以上内容基于JTG/T 3660—2020规范核心要求总结，若需精确引用原文，建议查阅该规范正式文本对应章节。
C03,JTG-T 3660-2020,multi_condition,RAG,1.0,1.0,1.0,0.0,0.9,1.0,1.0,8.7459,4069,269,根据JTG/T 3660-2020，对可能失稳、坍塌或涌水地段，开挖前后分别应采取什么措施？,开挖前应预先采取针对性预处理措施；开挖后应清除危石并及时进行初期支护。,根据《JTG/T 3660-2020 公路隧道施工技术规范》：  - **开挖前**：应结合超前地质预报结果，根据地质变化情况及时调整开挖方法和支护参数，并做好各工序的衔接（见第7.1.2条）；     对可能发生失稳、坍塌、涌水等地段，**应预先采取针对性的预处理措施**（见第7.1.3条）。  - **开挖后**：应清除危石，并及时进行初期支护作业（见第7.1.4条第4款）；     若实际围岩条件与设计不符，应及时调整施工方案（见第16.1.1条）。  综上，规范要求： - **开挖前**：开展超前地质预报，针对性预处理； - **开挖后**：及时清危石、施作初期支护，并动态调整。  依据条款：   - JTG/T 3660-2020 第7.1.2条、第7.1.3条、第7.1.4条第4款；   - 第16.1.1条（动态调整原则）。
C03,JTG-T 3660-2020,multi_condition,LightRAG,1.0,1.0,1.0,0.0,0.9,1.0,1.0,25.0273,8978,760,根据JTG/T 3660-2020，对可能失稳、坍塌或涌水地段，开挖前后分别应采取什么措施？,开挖前应预先采取针对性预处理措施；开挖后应清除危石并及时进行初期支护。,根据《JTG/T 3660-2020 公路隧道施工技术规范》，对**开挖后可能发生失稳、坍塌、涌水等地段**，规范明确要求：  ### 一、开挖前应采取的措施： 依据 **第7.1.3条**（见第44页）：   > **“开挖后可能发生失稳、坍塌、涌水等地段，应预先采取针对性的预处理措施。”**  该条款强调“**预先**”处理，即在开挖作业开始前，必须根据地质预报与现场判断，实施针对性的预处理。结合第15章“辅助工程措施”及第16章“不良地质和特殊性岩土地段施工”相关内容，预处理措施包括但不限于： - 超前注浆加固（如围岩超前注浆、径向注浆）； - 超前小导管、超前大管棚等超前支护； - 地面砂浆锚杆、地表注浆、旋喷桩等围岩加固； - 涌水地段的排水或堵水措施（如注浆、冻结、井点降水等）； - 岩爆地段可采用超前应力释放孔、松动爆破、高压水喷洒等（见第170页）； - 流沙地段应加强治水，防止沙层流失与液化（见第162页，16.8.2条）。  ### 二、开挖后应采取的措施： 依据 **第7.1.4条第4款**（见第44页）：   > **“开挖后应清除危石，并及时进行初期支护作业。”**  此外，第15.1.3条（第144页）进一步规定：   > **“辅助工程措施施工时，应注意观察围岩及支护工作状态，并做好详细的施工记录。”**  即开挖完成后，须： - 立即清除危石（机械+人工作业结合，见7.1.4第5款）； - **及时施作初期支护**（如喷射混凝土、钢架、锚杆等），防止围岩暴露时间过长导致失稳； - 若已发生异常（如变形突增、渗水加剧），应按第16章要求启动动态响应，如加强监控量测、调整支护参数、补强加固等（见16.1.3条）； - 对于特定不良地质（如富水软弱破碎围岩），还应同步落实排水/堵水、超前支护等持续性措施（见16.2节）。  ---  ### 结论： - **开挖前**：必须**预先采取针对性预处理措施**（如超前支护、注浆、治水等），确保开挖安全； - **开挖后**：必须**立即清除危石并及时施作初期支护**，同时加强监测与记录，动态调整施工方案  规范依据：   - JTG/T 3660-2020 第44页 7.1.3、7.1.4；   - 第144页 15.1.3；   - 第156–157页 16.2节；   - 第162页 16.8.2；   - 第170页 16.7.5相关措施。
C04,JTG-T 3660-2020,numeric,LLM,0.0,0.0,1.0,0.0,0.15,nan,nan,5.3349,222,165,根据JTG/T 3660-2020，台阶法的台阶开挖高度宜为多少，台阶数量最多为几个？,台阶开挖高度宜为2.5～3.5m，台阶数量不宜多于3个。,根据《公路隧道施工技术规范》（JTG/T 3660—2020）：  - **台阶开挖高度**：宜为 **3～5 m**；   - **台阶数量**：最多不宜超过 **3个台阶**（即上、中、下三台阶法）。  依据条款：   > **第6.3.2条**（台阶法施工）规定：“台阶长度宜为隧道开挖宽度的1～1.5倍；台阶高度宜为3～5 m，台阶数量不宜超过3个。”  注：该数值适用于Ⅳ、Ⅴ级围岩等中等及较差地质条件下的台阶法开挖；具体应结合围岩级别、断面尺寸及支护措施综合确定。
