"id","standard","category","clause","page","question"
"GB01","GB 50086-2015","numeric","6.1.2","47","根据GB 50086-2015，喷射混凝土的一般最低设计强度等级是多少？用于大型洞室及特殊条件工程支护时又不宜低于多少？"
"GB02","GB 50086-2015","numeric","6.1.3","47","根据GB 50086-2015，喷射混凝土的最小设计厚度不得小于多少？"
"GB03","GB 50086-2015","multi_condition","6.3.13","51","根据GB 50086-2015，钢架喷射混凝土支护中钢架间距和钢架间纵向连接有何要求？"
"GB04","GB 50086-2015","table","6.3.13","51","根据GB 50086-2015，钢架立柱埋入地坪下的深度及覆盖钢架的喷射混凝土保护层厚度分别不得小于多少？"
"GB05","GB 50086-2015","table","6.3.14","51","根据GB 50086-2015，喷射混凝土用于边坡工程时，伸缩缝宽度和最大间距宜分别取多少？"
"GB06","GB 50086-2015","multi_condition","4.6.2","32","根据GB 50086-2015，锚杆锚固段最小间距是多少？确需小于该值时，相邻锚杆倾角应如何调整？"
"GB07","GB 50086-2015","numeric","4.6.3","32","根据GB 50086-2015，锚杆与相邻基础或地下设施之间的距离应满足什么要求？"
"GB08","GB 50086-2015","multi_condition","4.6.5","32","根据GB 50086-2015，锚杆锚固段上覆土层厚度及锚杆倾角范围有何规定？"
"GB09","GB 50086-2015","multi_condition","6.4.15","55","根据GB 50086-2015，喷射混凝土喷水养护应何时开始、至少持续多久，何种气温下不得喷水养护？"
"GB10","GB 50086-2015","table","6.3.4","49","根据GB 50086-2015，喷射混凝土的体积密度可取什么范围？"
"D01","JTG 3370.1-2018","multi_condition","3.6.1","18","根据JTG 3370.1-2018，隧道围岩级别综合评判采用哪两个分级步骤？"
"D02","JTG 3370.1-2018","formula","3.6.2","18","根据JTG 3370.1-2018，岩质围岩基本质量指标BQ的计算公式是什么？"
"D03","JTG 3370.1-2018","formula","3.6.2","18","根据JTG 3370.1-2018，计算BQ时对Rc和Kv规定了哪两个限制条件？"
"D04","JTG 3370.1-2018","formula","3.6.3","18-19","根据JTG 3370.1-2018，岩体修正质量指标［BQ］如何计算？K1、K2、K3分别代表什么？"
"D05","JTG 3370.1-2018","table","表3.6.4","19","根据JTG 3370.1-2018表3.6.4，Ⅱ级围岩对应的BQ或［BQ］范围是多少？"
"D06","JTG 3370.1-2018","table","表3.6.4","19","根据JTG 3370.1-2018表3.6.4，Ⅳ级岩质围岩对应的BQ或［BQ］范围是多少？"
"D07","JTG 3370.1-2018","table","表3.6.4","19","根据JTG 3370.1-2018表3.6.4，Ⅴ级岩质围岩的BQ或［BQ］上限及典型定性特征是什么？"
"D08","JTG 3370.1-2018","multi_condition","8.2.4","47","根据JTG 3370.1-2018，永久支护锚杆应采用何种锚固形式？端头锚固型作为永久支护时有何附加要求？"
"D09","JTG 3370.1-2018","multi_condition","8.2.4","47","根据JTG 3370.1-2018，软岩或变形较大围岩采用预应力锚杆时，预加力和锚固端分别有何要求？"
"D10","JTG 3370.1-2018","multi_condition","8.2.7","48","根据JTG 3370.1-2018，钢架间距、连续使用数量以及钢筋横向连接的直径和间距分别有什么要求？"
"C01","JTG-T 3660-2020","direct","3.0.1","14","根据JTG/T 3660-2020，隧道施工动态管理应依据哪两类信息实施？"
"C02","JTG-T 3660-2020","multi_condition","7.1.1-7.1.2","44","根据JTG/T 3660-2020，选择开挖方法应考虑哪些主要因素？开挖前还应进行什么核实和调整？"
"C03","JTG-T 3660-2020","multi_condition","7.1.3-7.1.4","44","根据JTG/T 3660-2020，对可能失稳、坍塌或涌水地段，开挖前后分别应采取什么措施？"
"C04","JTG-T 3660-2020","numeric","7.2.3","46","根据JTG/T 3660-2020，台阶法的台阶开挖高度宜为多少，台阶数量最多为几个？"
"C05","JTG-T 3660-2020","table","7.2.3","46-47","根据JTG/T 3660-2020，台阶法上台阶在Ⅲ、Ⅳ、Ⅴ级围岩中的每循环进尺上限分别是多少？Ⅳ、Ⅴ级下台阶每循环进尺上限是多少？"
"C06","JTG-T 3660-2020","multi_condition","7.2.3","47","根据JTG/T 3660-2020，台阶法下台阶单侧拉槽长度、左右侧开挖错开距离及同一榀钢架悬空有何要求？"
"C07","JTG-T 3660-2020","table","表18.6.3","205-206","根据JTG/T 3660-2020表18.6.3，围岩位移管理的Ⅲ、Ⅱ、Ⅰ级判据及对应施工状态分别是什么？"
"C08","JTG-T 3660-2020","multi_condition","19.1.2","209","根据JTG/T 3660-2020，隧道超前地质预报要求采用哪些相结合并相互验证的综合方法？"
"C09","JTG-T 3660-2020","direct","19.1.4","209-210","根据JTG/T 3660-2020，隧道超前地质预报应包括哪四类主要内容？"
"C10","JTG-T 3660-2020","multi_condition","19.3.5","215-216","根据JTG/T 3660-2020，高分辨直流电法的发射电极数量、干扰控制、有效探测距离和连续探测重叠长度分别有何要求？"
"HGB001","GB 50086-2015","direct","7.3.5","192","根据GB 50086-2015，锚喷支护监控量测设计应包含哪些主要内容？"
"HGB002","GB 50086-2015","direct","4.2.5","165","根据GB 50086-2015，为满足城市建筑群密集地区锚杆芯体可拆除的要求，结合北京、深圳和台湾地区的实践经验，推荐采用哪类锚杆作为可拆芯式锚杆？"
"HGB003","GB 50086-2015","direct","6.4.11","185","根据GB 50086-2015，喷射混凝土前应对受喷面进行何种预处理？喷嘴与受喷面的垂直距离应控制在多少范围内？喷射顺序应如何安排以避免回弹物混入新喷层？"
"HGB004","GB 50086-2015","direct","4.5.3","167","根据GB 50086-2015，为确保岩土锚固工程的长期稳定性，对哪些类型的锚杆的防腐保护构造设计作出了严格规定？"
"HGB005","GB 50086-2015","numeric","11.2.3","112","根据GB 50086-2015，预应力抗浮锚杆的自由杆体长度不应小于多少？同时其锚杆间距有何限制要求？"
"HGB006","GB 50086-2015","direct","9.4.1","216","根据GB 50086-2015，土钉及复合土钉支护施工中，为维持土体强度并减小边坡位移，对开挖与土钉施作的时序关系有何强制性规定？"
"HGB007","GB 50086-2015","direct","3.3.1","21","根据GB 50086-2015，工程地质与水文地质勘察应完成哪些核心任务？"
"HGB008","GB 50086-2015","direct","9.3.21","102","根据GB 50086-2015，土钉杆体与配筋喷射混凝土面层的连接方式中，哪些方法被明确禁止？对于重要工程或支护面层承受较大侧压的情形，应采用何种连接方式？"
"HGB009","GB 50086-2015","table","5.3.2","43","根据GB 50086-2015，涨壳式中空注浆锚杆适用于哪些地层条件与工程场景？其单锚承载力和最大长度有何限制？"
"HGB010","GB 50086-2015","formula","9.2.4","94","根据GB 50086-2015，支护结构设计计算采用荷载基本组合时，其内力设计值Sd应如何由内力标准值Sk确定？请说明公式及各符号含义。"
"HGB011","GB 50086-2015","table","6.3","49","根据GB 50086-2015，喷射混凝土C30强度等级对应的轴心抗压强度设计值和轴心抗拉强度设计值各是多少？"
"HGB012","GB 50086-2015","direct","7.3.15","195","根据GB 50086-2015，对于锚喷支护条件下围岩整体稳定性验算，为何不宜仅按弹性理论进行计算？"
"HGB013","GB 50086-2015","numeric","10.3.1","110","根据GB 50086-2015《岩土锚杆与喷射混凝土支护工程技术规范》，基础与混凝土坝预应力锚杆施工中，锚杆孔偏斜值的最大允许限值是多少？"
"HGB014","GB 50086-2015","direct","8.2.9","207","根据GB 50086-2015，为确保锚固力均匀作用于边坡坡体并防止传力结构破损及地层明显变形，对传力结构与坡面结合处应采取何种措施？"
"HGB015","GB 50086-2015","direct","8.4.5","208","根据GB 50086-2015，岩石边坡开挖采用预裂爆破、光面爆破等控制爆破方法可带来哪些工程效益？"
"HGB016","GB 50086-2015","numeric","10.2","218","根据GB 50086-2015规范，在阿尔及利亚舍尔法重力坝加高工程中，所采用的预应力锚杆承载力为多少？"
"HGB017","GB 50086-2015","direct","12.1.9","226","根据GB 50086-2015，荷载分散型锚杆基本试验推荐采用何种加荷方式？当某一个单元锚杆首先出现破坏时，其极限承载力应如何确定？"
"HGB018","GB 50086-2015","formula","11.2.1","111","根据GB 50086-2015，地下水浮力标准值Ff应如何计算？请写出其计算公式及各符号含义。"
"HGB019","GB 50086-2015","direct","9.2.1","209","根据GB 50086-2015，锚拉桩（墙）结构的设计计算应包含哪些主要内容？嵌固深度通常采用哪两类经典理论公式进行计算？"
"HGB020","GB 50086-2015","direct","9.1.6","209","依据GB 50086-2015，当缺乏当地经验值时，确定变形允许值应依据哪两类原则？请说明具体依据内容。"
"HGB021","GB 50086-2015","direct","7.4.6","77","根据GB 50086-2015，对于开挖后出现持续变形且变形量大的塑性流变岩体中的隧洞，其断面形状宜采用何种形式？设计断面尺寸应如何考虑围岩变形影响？"
"HGB022","GB 50086-2015","numeric","4.6.1","32","根据GB 50086-2015，锚杆锚固段的最小间距应为多少？当实际需要的锚杆间距小于该值时，应采取何种构造措施？"
"HGB023","GB 50086-2015","direct","5.3.4","44","根据GB 50086-2015，纤维增强塑料锚杆适用于哪些特定要求的地层加固工程？"
"HGB024","GB 50086-2015","multi_condition","6.5.2","57","根据GB 50086-2015，喷射混凝土厚度采用钻孔法检查时，其合格条件应满足哪些具体要求？"
"HGB025","GB 50086-2015","numeric","5.2.5","42","根据GB 50086-2015，缝管锚杆所用钢管的外径应比钻孔直径大多少？"
"HGB026","GB 50086-2015","direct","7.3.1","67","依据GB 50086-2015，锚喷支护工程采用类比法进行初步设计时，应依据哪些表格来初步选定锚喷支护类型和参数？"
"HGB027","GB 50086-2015","multi_condition","7.3.9","73","根据GB 50086-2015，对于需采用分期支护的隧洞洞室工程，后期支护实施前，隧洞位移应同时满足哪些速度控制标准？"
"HGB028","GB 50086-2015","direct","4.2","24","根据GB 50086-2015《岩土锚杆与喷射混凝土支护工程技术规范》，拉力型锚杆应由哪几部分组成？"
"HGB029","GB 50086-2015","direct","9.1.4","92","根据GB 50086-2015，当设计锚杆超出用地红线时应如何处理？当地下环境不允许残留锚杆杆体时，应采用何种类型锚杆？"
"HGB030","GB 50086-2015","numeric","4.7.13","178","根据GB 50086-2015，锚杆锁定后预应力变化一般不应超过锚杆拉力设计值的多少？若超出该限值应采取何种措施？"
"HGB031","GB 50086-2015","direct","13.6.4","123","依据GB 50086-2015，当锚杆防腐保护体系存在缺陷或失效时，应如何处理？"
